User_ID,Product_ID,Purchase
1000001,P00069042,8370
1000001,P00248942,15200
1000001,P00087842,1422
1000001,P00085442,1057
1000002,P00285442,7969
1000003,P00193542,15227
1000004,P00184942,19215
1000004,P00346142,15854
1000004,P0097242,15686
1000005,P00274942,7871
1000005,P00251242,5254
1000005,P00014542,3957
1000005,P00031342,6073
1000005,P00145042,15665
1000006,P00231342,5378
1000006,P00190242,2079
1000006,P0096642,13055
1000006,P00058442,8851
1000007,P00036842,11788
1000008,P00249542,19614
1000008,P00220442,8584
1000008,P00156442,9872
1000008,P00213742,9743
1000008,P00214442,5982
1000008,P00303442,11927
1000009,P00135742,16662
1000009,P00039942,5887
1000009,P00161442,6973
1000009,P00078742,5391
1000010,P00085942,16352
1000010,P00118742,8886
1000010,P00297942,5875
1000010,P00266842,8854
1000010,P00058342,10946
1000010,P00032442,5152
1000010,P00105942,7089
1000010,P00182642,12909
1000010,P00186942,8770
1000010,P00155442,15212
1000010,P00221342,15705
1000010,P00087242,7947
1000010,P00111142,18963
1000010,P00259342,8718
1000010,P0094542,16406
1000010,P00148642,12642
1000010,P00312142,10007
1000010,P00113242,11562
1000011,P00192642,6171
1000011,P00110842,19327
1000011,P00189642,8027
1000012,P00304242,15246
1000012,P00365242,6865
1000013,P00129542,5839
1000013,P00140742,15912
1000013,P00182342,12107
1000014,P00276642,5848
1000015,P00334242,19653
1000015,P00247542,5958
1000015,P00338442,11415
1000015,P00275142,5380
1000015,P00333042,3594
1000015,P00166242,4209
1000015,P00161942,5407
1000015,P00348242,7803
1000015,P00042142,11458
1000016,P00244242,11755
1000016,P00217742,8702
1000017,P00019342,15872
1000017,P00100642,8609
1000017,P00073842,15172
1000018,P00366542,1780
1000018,P00190742,10754
1000018,P00151842,2802
1000018,P00112642,19473
1000018,P00118442,19672
1000018,P00034442,19313
1000018,P00222242,15182
1000018,P00118342,15985
1000018,P00324742,16454
1000018,P00190042,13551
1000018,P0094142,697
1000018,P00138542,7030
1000018,P00158542,5430
1000018,P00157542,8011
1000018,P00044142,5912
1000019,P00112542,7746
1000019,P00339542,19525
1000019,P00127842,11959
1000019,P00125942,19172
1000019,P00251342,8773
1000019,P00249642,11023
1000019,P00124842,4654
1000019,P00250642,4664
1000019,P00058142,8290
1000019,P00117442,7011
1000019,P00251642,4211
1000019,P00244842,1539
1000021,P00220242,3055
1000022,P00351142,12099
1000022,P00213242,8797
1000022,P00195942,10681
1000022,P00115642,7801
1000022,P0098242,15517
1000022,P00262242,12098
1000022,P00258742,6976
1000022,P00218242,5384
1000022,P00021742,6973
1000022,P00313042,5168
1000022,P00133742,3449
1000022,P00077042,7177
1000022,P00280542,4570
